zip,ZHVIAH,ZHVIBT,ZHVIMT,ZHVITT,MVALFAH
02110,1334048.0,828293.0,1334048.0,2628599.0,1138.0
02196,,,,,
02201,,,,,
02204,150686.0,,150686.0,,82.0
02206,,,,,
02211,,,,,
02217,,,,,
02241,93464.0,65011.0,93464.0,190798.0,59.0
02266,,,,,
02283,,,,,
02284,,,,,
02293,,,,,
02297,,,,,
02112,2196964.0,,2196964.0,,955.0
02117,,,,,
02123,333671.0,,333671.0,,161.0
02137,,,,,
02455,,,,,
02109,901207.0,628513.0,901207.0,1895015.0,858.0
02203,,49019.0,,129627.0,
02205,,76235.0,,2857850.0,
02113,608509.0,462356.0,608509.0,914301.0,866.0
02108,1310395.0,643204.0,1310395.0,3779910.0,1138.0
02111,1012424.0,693554.0,1012424.0,1738332.0,879.0
02222,,,,,
02114,724285.0,517532.0,724285.0,1312866.0,938.0
02210,1086141.0,682401.0,1086141.0,2305158.0,912.0
02298,,,,,
02116,1243283.0,711214.0,1243283.0,2787177.0,1958.0
02133,,,,,
02142,1171961.0,747260.0,1171961.0,2115137.0,960.0
02141,771220.0,576062.0,771220.0,1039970.0,792.0
02199,3863991.0,1760434.0,3863991.0,6775151.0,2028.0
02129,814508.0,595034.0,814508.0,1232407.0,712.0
02118,933365.0,657018.0,933365.0,1781463.0,975.0
02127,732122.0,549618.0,732122.0,974849.0,922.0
02128,510851.0,406572.0,510851.0,637827.0,471.0
02212,,,,,
02238,,,,,
02115,797831.0,537182.0,797831.0,1582445.0,983.0
02139,826436.0,604972.0,826436.0,1336148.0,1316.0
02143,748661.0,573383.0,748661.0,1013503.0,644.0
02120,540842.0,407758.0,540842.0,917767.0,468.0
02215,658084.0,470594.0,658084.0,978658.0,1030.0
02119,481158.0,364530.0,481158.0,686943.0,1154.0
02125,537841.0,404522.0,537841.0,707017.0,464.0
02145,643328.0,488490.0,643328.0,839320.0,540.0
02150,392268.0,321195.0,392268.0,502058.0,336.0
02149,447322.0,329208.0,447322.0,517775.0,338.0
02446,945072.0,633833.0,945072.0,1748171.0,1234.0
02163,,,,,
02134,607082.0,444988.0,607082.0,868141.0,520.0
02121,412656.0,330151.0,412656.0,577592.0,1818.0
02456,,,,,
02447,,,,,
02152,490112.0,360358.0,490112.0,603516.0,789.0
02122,504918.0,388641.0,504918.0,645592.0,952.0
02138,976963.0,641653.0,976963.0,2189094.0,791.0
02144,855861.0,642538.0,855861.0,1242168.0,626.0
02153,,,,,
02130,652797.0,477316.0,652797.0,940542.0,2827.0
02445,1066483.0,612064.0,1066483.0,2189531.0,710.0
02140,837787.0,607597.0,837787.0,1436114.0,707.0
02171,513150.0,391971.0,513150.0,668645.0,409.0
02124,531795.0,390217.0,531795.0,678139.0,347.0
02151,433620.0,339199.0,433620.0,515133.0,304.0
02148,479450.0,381718.0,479450.0,561277.0,750.0
02135,517849.0,386079.0,517849.0,761562.0,550.0
02155,614793.0,502508.0,614793.0,751007.0,777.0
02187,,,,,
02467,1169488.0,652697.0,1169488.0,2046105.0,616.0
02126,439385.0,386841.0,439385.0,537492.0,321.0
02131,560251.0,433934.0,560251.0,671340.0,949.0
02156,,,,,
02472,623505.0,476442.0,623505.0,790332.0,450.0
02170,548526.0,455526.0,548526.0,635680.0,386.0
02458,991905.0,650802.0,991905.0,1669341.0,500.0
02471,,,,,
02477,,,,,
02474,773354.0,591560.0,773354.0,957668.0,835.0
02176,635034.0,499542.0,635034.0,756173.0,366.0
02475,,,,,
02478,1042076.0,695216.0,1042076.0,1472750.0,553.0
02476,767611.0,550564.0,767611.0,979511.0,906.0
02269,,,,,
02460,985883.0,698953.0,985883.0,1424010.0,494.0
01906,464850.0,403108.0,464850.0,596876.0,486.0
02459,1385992.0,987725.0,1385992.0,1806008.0,610.0
02132,614767.0,472999.0,614767.0,755412.0,902.0
01890,1039046.0,707402.0,1039046.0,1551596.0,429.0
02495,,,,,
02136,457238.0,393058.0,457238.0,543392.0,615.0
02180,549270.0,407286.0,549270.0,691200.0,606.0
02169,462289.0,348007.0,462289.0,591623.0,713.0
02186,715671.0,592675.0,715671.0,995254.0,391.0
02461,1085294.0,813831.0,1085294.0,1488315.0,545.0
01908,630758.0,469593.0,630758.0,940162.0,1142.0
02479,,,,,
02452,627601.0,490068.0,627601.0,780312.0,346.0
02465,967613.0,726398.0,967613.0,1814001.0,490.0
01901,311386.0,227070.0,311386.0,395482.0,279.0
02464,736801.0,581608.0,736801.0,1017719.0,489.0
01905,375173.0,316698.0,375173.0,421957.0,309.0
01903,,,,,
02453,590785.0,468092.0,590785.0,681828.0,394.0
01910,,,,,
02468,1501518.0,1209867.0,1501518.0,2033544.0,561.0
02454,607387.0,399807.0,607387.0,713517.0,394.0
02191,392323.0,338350.0,392323.0,471213.0,309.0
02027,,,,,
01813,,,,,
01815,,,,,
01902,352099.0,265924.0,352099.0,411018.0,285.0
01888,,,,,
02494,904363.0,746378.0,904363.0,1225757.0,482.0
02045,433678.0,324604.0,433678.0,699479.0,278.0
02466,984819.0,743775.0,984819.0,1393002.0,491.0
01880,550469.0,462406.0,550469.0,675787.0,547.0
01904,406385.0,362842.0,406385.0,479649.0,291.0
02026,524214.0,433021.0,524214.0,688312.0,599.0
02462,929896.0,742070.0,929896.0,1241815.0,510.0
01801,515423.0,429646.0,515423.0,626787.0,371.0
02185,,,,,
02420,1009033.0,757152.0,1009033.0,1593581.0,508.0
02451,582251.0,481266.0,582251.0,703744.0,373.0
02421,1083863.0,850526.0,1083863.0,1543724.0,545.0
02184,514600.0,409778.0,514600.0,647793.0,465.0
01907,547464.0,380600.0,547464.0,786612.0,311.0
02492,1067279.0,840580.0,1067279.0,1491144.0,1670.0
02457,,,,,
02188,419229.0,361087.0,419229.0,508213.0,682.0
02481,1524765.0,1034129.0,1524765.0,2134957.0,1891.0
02189,395423.0,313223.0,395423.0,491434.0,304.0
02090,762286.0,603036.0,762286.0,1117986.0,381.0
02493,1471778.0,981859.0,1471778.0,2456810.0,442.0
01867,614332.0,487513.0,614332.0,771514.0,344.0
01805,,,,,
01940,691319.0,567854.0,691319.0,932942.0,284.0
02021,534586.0,389426.0,534586.0,740553.0,295.0
01960,461352.0,381455.0,461352.0,571293.0,294.0
01803,589794.0,510011.0,589794.0,707259.0,583.0
02368,382027.0,322602.0,382027.0,450438.0,573.0
01970,408929.0,323101.0,408929.0,503843.0,269.0
02043,817789.0,590050.0,817789.0,1282501.0,744.0
02482,1215810.0,849469.0,1215810.0,1743776.0,1808.0
01961,,,,,
01971,,,,,
01945,697376.0,516992.0,697376.0,1126138.0,680.0
01731,,,,,
02044,,,,,
01773,1030924.0,590380.0,1030924.0,1548826.0,391.0
02062,487662.0,407169.0,487662.0,592342.0,332.0
02190,432375.0,308573.0,432375.0,552637.0,312.0
02030,1162163.0,847784.0,1162163.0,1768050.0,2605.0
01866,,,,,
01730,722593.0,595472.0,722593.0,990089.0,379.0
