lifeline,name,url,phone,distance,price,id,zipcode,city,state,address1,address2,address3,display_address,latitude,longitude,alias1,alias2,alias3
communications,WERS 88.9FM,https://www.yelp.com/biz/wers-88-9fm-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16178248084,795.9591881837976,,P98XXNv_cl1Diap94dYO2Q,02108,Boston,MA,180 Tremont St,,,180 Tremont St,42.352707,-71.064118,radiostations,NA,NA
communications,Capital One Café,https://www.yelp.com/biz/capital-one-caf%C3%A9-boston-3?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16178320620,701.6036219276317,$,xLTJAH7UlgVMjvGqdRU_Pw,02118,Boston,MA,310 Harrison Ave,,,310 Harrison Ave,42.3460064,-71.0630752,coffee,NA,NA
communications,Capital One Café,https://www.yelp.com/biz/capital-one-caf%C3%A9-boston-4?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16172360585,871.8805913750172,$,3cyVW2fqYpFoY3aheBMUdg,02116,Boston,MA,799 Boylston St,,,799 Boylston St,42.349119,-71.081711,banks,NA,NA
communications,Capital One Café,https://www.yelp.com/biz/capital-one-caf%C3%A9-boston-5?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16174820152,1207.8988016499693,$,I0JjUle_W-9Ukv_bbd0NeA,02108,Boston,MA,129 Tremont St,,,129 Tremont St,42.3562641,-71.0619601,banks,NA,NA
communications,WBUR 90.9 FM,https://www.yelp.com/biz/wbur-90-9-fm-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16173530909,3651.6535532219687,,31n_WR0O0IIJJ_3DCjHt9A,02215,Boston,MA,890 Commonwealth Ave,,,890 Commonwealth Ave,42.350547,-71.1155277,radiostations,NA,NA
communications,The David Pakman Show,https://www.yelp.com/biz/the-david-pakman-show-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,,5565.653579263792,,-RyZgaiT7aj_3zKKSZWLsA,02130,Boston,MA,,,,"Boston, MA 02130",42.31001,-71.11348,radiostations,NA,NA
communications,First Republic Bank,https://www.yelp.com/biz/first-republic-bank-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16178598888,805.4738899596578,,6PHFpdOmxIlII0L-h1bM-A,02199,Boston,MA,772 Boylston St,,,772 Boylston St,42.3489625167428,-71.0809265998886,banks,NA,NA
communications,Capital One Café,https://www.yelp.com/biz/capital-one-caf%C3%A9-cambridge-2?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16172992669,4857.812200025365,$,KhFwuT_v61xNJv4OBseCUw,02138,Cambridge,MA,24 JFK St,,,24 JFK St,42.3728979012911,-71.1196759343147,banks,NA,NA
communications,WMBR 88.1 FM,https://www.yelp.com/biz/wmbr-88-1-fm-cambridge?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16172538810,1900.9548964350709,,9MdULwol5kEHJeeeY8UnGg,02142,Cambridge,MA,142 Memorial Dr,,,142 Memorial Dr,42.3591755,-71.087723,radiostations,NA,NA
communications,Capital One Café,https://www.yelp.com/biz/capital-one-caf%C3%A9-boston-7?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+17813747222,2005.1577866711048,$,mbElZiWlUjTlZJHayt83JA,02210,Boston,MA,57 Seaport Blvd,,,57 Seaport Blvd,42.3526042,-71.0477093,banks,NA,NA
communications,WGBH,https://www.yelp.com/biz/wgbh-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16173002000,6403.546695093071,,YKo7scoP6aQ04n-nC-N3oQ,02135,Boston,MA,1 Guest St,,,1 Guest St,42.3563,-71.14867,radiostations,NA,NA
communications,WJIB Radio 740,https://www.yelp.com/biz/wjib-radio-740-cambridge?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16178687400,7025.201610861044,,tYLjIRDKyJZnvCMFKAKZQw,02138,Cambridge,MA,443 Concord Ave,,,443 Concord Ave,42.38622,-71.13886,radiostations,NA,NA
communications,Leader Bank,https://www.yelp.com/biz/leader-bank-cambridge-3?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16174972500,3353.5959768639987,,HgYsZRvtcFlVHbanZ_vTBQ,02139,Cambridge,MA,675 Massachusetts Ave,,,675 Massachusetts Ave,42.36582,-71.10408,banks,NA,NA
communications,Capital One Café,https://www.yelp.com/biz/capital-one-caf%C3%A9-somerville?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16178633275,4939.838708155287,,dwLF6jEC5UB8hPa0r93Fxg,02145,Somerville,MA,425 Revolution Dr,,,425 Revolution Dr,42.3919606,-71.0782908,banks,NA,NA
communications,WBCN 104 FM,https://www.yelp.com/biz/wbcn-104-fm-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16172661111,6866.331144212619,,Rg5g9hI1I1ianDrLbDuFhw,02215,Boston,MA,Leo Birmingham Pkwy,,,Leo Birmingham Pkwy,42.35831,-71.15361,radiostations,NA,NA
communications,94.9FM ZUMIX,https://www.yelp.com/biz/94-9fm-zumix-east-boston?adjust_creative=45kqYYhpW-MD2mr1wGE7bw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=45kqYYhpW-MD2mr1wGE7bw,+16175689777,3570.3531650453824,,Sg9I-fd7FZ7MS-olKiAA7Q,02128,EAST  Boston,MA,260 Sumner St,,,260 Sumner St,42.36825,-71.03768,radiostations,NA,NA
