Unnamed: 0,zipcode,communications,communications lat,communications long,energy,energy lat,energy long,food_water_shelter,food_water_shelter lat,food_water_shelter long,hazmat,hazmat lat,hazmat long,health_medical,health_medical lat,health_medical long,safe_sec,safe_sec lat,safe_sec long,transportation,transportation lat,transportation long,population,zillowprice,total lifelines
0,01730,5,42.4862653,-71.262123,2,42.48488287,-71.26039475,35,42.49636627,-71.28581957,0,0.0,0.0,27,42.512056,-71.23902199999998,6,42.49008,-71.27431999999997,11,42.4921886,-71.2833103,13221.0,722593.0,86
1,01731,1,42.46041107,-71.27748871,0,0.0,0.0,7,42.46153,-71.27786,0,0.0,0.0,1,42.4595757,-71.2785339,0,0.0,0.0,0,0.0,0.0,1396.0,,9
2,01742,5,42.457044,-71.391672,3,42.464713,-71.385579,42,42.45993361,-71.34981569,1,42.4363803,-71.4260984,42,42.45956,-71.38641,16,42.556994,-71.391148,0,0.0,0.0,17726.0,901570.0,109
3,01760,6,42.300581,-71.382328,10,42.28224,-71.383131,54,42.29998908,-71.38869377,1,42.287704,-71.350874,68,42.281906,-71.378952,20,42.31118386,-71.36482073,11,42.31152283,-71.3646395,32786.0,605277.0,170
4,01770,0,0.0,0.0,1,42.24006,-71.36875,3,42.23957559,-71.36819636,0,0.0,0.0,2,42.245585,-71.369792,1,42.24621624,-71.36903085,0,0.0,0.0,4119.0,804986.0,7
5,01773,0,0.0,0.0,2,42.41408,-71.32687,7,42.423618,-71.339984,0,0.0,0.0,4,42.4116699,-71.2743628,8,42.42625348,-71.30337775,0,0.0,0.0,5112.0,1030924.0,21
6,01778,3,42.31771,-71.3630699,3,42.316495,-71.363066,12,42.32266,-71.35531999999998,1,42.362164,-71.365029,26,42.32052,-71.35462,13,42.3170624,-71.3647995,0,0.0,0.0,13109.0,737609.0,58
7,01801,11,42.5001916,-71.16022243,17,42.4793396,-71.11946106,82,42.46868,-71.17846999999998,0,0.0,0.0,89,42.497463,-71.127144,15,42.4789581,-71.15367890000002,22,42.4987526,-71.1249619,38903.0,515423.0,236
8,01803,14,42.49997329999999,-71.1940155,6,42.50364318,-71.19540475,104,42.47277070000001,-71.209053,0,0.0,0.0,69,42.482613,-71.194152,15,42.50537872,-71.19254303,9,42.4697699,-71.21406999999998,24487.0,589794.0,217
9,01821,4,42.55362463,-71.26407836,4,42.57059479,-71.22162628,57,42.57470518,-71.28210296,1,42.579669,-71.256355,17,42.566441,-71.275018,6,42.539873,-71.28364,5,42.5651512,-71.2866516,30310.0,454394.0,94
10,01864,4,42.57338333,-71.08104706,2,42.5885101,-71.11541893,33,42.5906911,-71.1078937,0,0.0,0.0,13,42.582947,-71.11212900000002,8,42.57576,-71.07676,5,42.588287,-71.116516,14892.0,565534.0,65
